DONATION_ID,DISBURSEMENT_ID,DISBURSEMENT_BATCH_ID,FOUNDATION_ID,FOUNDATION_NAME,PARTNER_ID,PARTNER_NAME,SUBSIDIARY_ID,SUBSIDIARY_NAME,ORGANISATION_ID,ORGANISATION_NAME,ORGANISATION_COUNTRY,FUNDRAISER_ID,MATCHED_FROM_DONATION_ID,PROVIDER,PAYMENT_INTENT_EXTERNAL_ID,SUBSCRIPTION_ID,EXTERNAL_PAYMENT_URL,CREATED_AT,CANCELLED_AT,SETTLED_AT,PAYMENT_INITIATED_AT,PAID_AT,DONATION_TYPE,DONATION_STATUS,COMPLIANCE_STATUS,PAYMENT_METHOD,REASSIGNED_REASON,DONATION_REQUEST_SENT_AT,DONATION_REQUEST_REFERENCE,ACCOUNT_ID,DONATION_CURRENCY,DONATION_AMOUNT,DONATION_AMOUNT_USD,SETTLED_CURRENCY,SETTLED_AMOUNT,SETTLED_AMOUNT_USD,DONATION_REQUEST_CURRENCY,DONATION_REQUEST_AMOUNT,DONATION_FEE_CURRENCY,DONATION_FEE_AMOUNT,DONATION_FEE_AMOUNT_USD,ACTUAL_ORGANISATION_CURRENCY,ATTRIBUTED_ORGANISATION_AMOUNT,ATTRIBUTED_ORGANISATION_AMOUNT_USD,SUBSIDIARY_FEE_CURRENCY,SUBSIDIARY_FEE_AMOUNT
donation_000000D8ssU6qhBKz6E2hIBGhyeFl,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704Ig7aNkyPCiPeJptKTT4,Organisation_Name_128,Australia,,,,,,,2025-08-09 00:03:12.628 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.64,0.4174057607,,,,AUD,0.64,,,,,,,,
donation_000000D8t6HYTqsvHDYNYjuzNH40f,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704Vczh1ueTMcCe8Ce7Xv6,Organisation_Name_25,Australia,,,,,,,2025-08-09 02:12:01.780 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.7,0.4565375508,,,,AUD,0.7,,,,,,,,
donation_000000D8t6W3R0aWkiynqGgfUtZez,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704E8lyY3q1URVnORUSBSZ,Organisation_Name_55,Australia,,,,,,,2025-08-09 02:14:12.120 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.03,0.01956589503,,,,AUD,0.03,,,,,,,,
donation_000000D8spao9QfeQWwXmubJkHBZZ,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704EnwhOzZ6TMQMMFwHyxV,Organisation_Name_124,Australia,,,,,,,2025-08-08 23:36:12.220 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.2,0.1304393002,,,,AUD,0.2,,,,,,,,
donation_000000D8tt4RJ9VO2RSzHpCN5sT9V,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704H83EOFbsuZcKjbViHFy,Organisation_Name_130,Australia,,,,,,,2025-08-09 09:47:31.611 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.38,0.2478346704,,,,AUD,0.38,,,,,,,,
donation_000000D8t4M1MRAdMbFbzsu5Na0x7,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704Nsdv4NprtuE4D2k2YvH,Organisation_Name_138,Australia,,,,,,,2025-08-09 01:54:01.889 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.3,0.1956589503,,,,AUD,0.3,,,,,,,,
donation_000000D8sGRd4vM5SDeptm4u5K8bx,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704Nsdv4NprtuE4D2k2YvH,Organisation_Name_138,Australia,,,,,,,2025-08-08 18:08:03.947 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.55,0.3587080756,,,,AUD,0.55,,,,,,,,
donation_000000D8idz0WZBwAdJLafQV2WMxV,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704Vczh1ueTMcCe8Ce7Xv6,Organisation_Name_25,Australia,,,,,,,2025-08-04 21:19:21.932 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.5,0.3241911008,,,,AUD,0.5,,,,,,,,
donation_000000D7osHoabyWI9y4920fkRWNA,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704H83EOFbsuZcKjbViHFy,Organisation_Name_130,Australia,,,,,,,2025-07-13 11:17:31.601 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.21,0.1381942384,,,,AUD,0.21,,,,,,,,
donation_000000D8VjKo7ml5MJudnZGg4jyKb,,,foundation_000000CS58uchzd01CInAFMQI8WG0,Foundation_Name_2,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCQj551MGyv5JB5b2Pa4,Subsidiary_Name_1,organisation_000000C2rgnCb1nKVzQ8otMQN1nO4,Organisation_Name_80,United Kingdom,,,stripe,pi_3Rqd6vJnsAXlefwu1KqH9psX,subscription_000000CxYTpphrvUsb0GehkC5v0fA,,2025-07-30 16:44:19.671 Z,,2025-08-04 00:23:01.000 Z,,,hosted,below_payout_threshold,pass,card,,,,account_000000CvDijCQACwx8re1iNsRtQRo,GBP,35,46.8083339,GBP,33.79,44.87025496,,,GBP,1.21,1.608913885,,,,GBP,1.21
